ros_time,x,y,z,tsdf_points,homing
20,0.2744029967628565,0.03660903444063466,1.241133032608667,33522,0
27,5.837460308661116,0.5330023626260327,1.5425396720666391,51335,0
33,6.409307484025195,3.816958955615417,1.4845213593520614,77288,0
40,6.0500869540342705,3.1900396099133355,1.4510485542889862,80342,0
46,2.860314794846888,-0.0016783303430234783,1.3478732957111317,80533,0
52,4.9488838048266315,2.4727021443218016,1.330589023780461,80626,0
58,3.1141242762451715,5.685269734795278,1.5953849077812177,83701,0
64,-1.699053990418652,5.700008301469333,1.457604732225268,86906,0
70,-5.6322859540033,4.535745757831766,1.5510187114182432,103759,0
76,-6.030707999265924,-0.5435751453932045,1.3964981147192626,109965,0
82,-6.060167681172645,-5.072027294211847,1.573197599853266,124671,0
88,-5.785914550894796,-4.803554682344334,1.4989123914467257,126199,0
94,-5.836645846752385,-0.19726953810575876,1.3670130553535744,126316,0
100,-6.07814132389406,4.215521846014348,1.5216719310357083,126384,0
106,-1.465445102375406,5.766816963008933,1.4736721925341392,126501,0
112,3.19851037565097,5.736389000086748,1.4939096965563259,126528,0
118,6.120985898413603,3.6314422949533514,1.4641562260868288,126552,0
125,4.458075910582347,-0.9754213294809244,1.5406501391412137,126711,0
130,5.636724357325695,2.0491461265186888,1.5294523354553107,126773,0
136,6.973334444466293,6.970806531568469,1.6180087941605636,126836,0
142,6.075481980235633,3.5904852463164723,1.5038049713620334,126871,0
148,3.9911027694798142,-1.2250675769600647,1.6059429712050945,126917,0
154,5.6028747534018795,1.7905223764912452,1.5455413479033797,126944,0
160,4.841070251749487,5.539648071735419,1.5262870792776426,126953,0
167,-0.4332511823873045,5.5436664124029775,1.4311504171776812,126972,0
173,-2.0614141865885887,5.570768016794284,1.4961483075776874,127004,0
179,3.2735644131191868,5.79793327682789,1.4367189235760691,127030,0
185,-0.004172221532740941,5.544527712344832,1.448134464648566,127049,0
192,-4.622057795288582,5.537769936421592,1.574964612865255,127079,0
198,-5.59156886403921,5.389274255277565,1.560791712600993,127187,0
203,-1.0501244938967136,5.788803869387109,1.4748737432680188,127206,0
209,0.31370402351618676,5.518696937780845,1.4945324487035168,127208,0
216,-4.709455095642087,5.482455879138195,1.614567485649627,127231,0
222,-5.863678501982067,0.6751083172322382,1.413864500394872,127243,0
229,-6.002505315576977,-4.220859607890629,1.5362523073392282,127322,0
236,-2.31500339296678,-5.937233586205337,1.3553489425534113,128091,0
242,3.2497385067192988,-5.746462872380978,1.3589500282492706,129974,0
248,6.417533761834425,-4.153935215493091,1.988156541115228,130914,0
254,5.04928352164084,-0.3214612587105326,1.5519414249088455,131403,0
261,6.232816034604561,1.6655397874302564,1.4671076674962504,131410,0
268,3.4759364938047215,6.2090799481968,1.463725129089566,131422,0
274,-1.1438635453958272,5.527622380445787,1.4729824926699606,131424,0
282,-5.176163352125617,4.051714051225117,1.5396976472177601,131432,0
288,-6.228704679653891,-1.0550269347765446,1.9702684748176043,131557,0
295,-5.764551783147398,-5.848008296924351,1.5017464571700616,131677,0
302,-5.911147513736031,-1.7662648181756284,1.4810003652198287,131691,0
308,-5.925053555934996,2.643893897444744,1.5630072886726871,131692,0
315,-3.5297384094392315,6.037347197874395,1.6223756236244842,131714,0
321,1.801911251740628,5.54383252536451,1.399834859542437,131722,0
327,6.125800623371144,5.322633097645117,1.628809931103222,131725,0
333,5.965281002104862,1.3308171671381066,1.5242826574658863,131727,0
339,1.9190519712682514,-1.1617025671935544,1.6028717458861936,131774,0
344,2.0002463373233343,0.06158290446655303,1.4295938060833178,131859,0
350,6.24034079163781,1.0148533874125703,1.5636546799107889,131864,0
357,5.9641006440405,6.511137145403865,1.5295799680286561,131873,0
364,0.871428286287071,5.565266479776445,1.4370226203400778,131875,0
371,-4.374627681190113,5.577074854409952,1.5200519249763482,131878,0
377,-6.191787303698617,2.071591261435494,1.4221677614858548,131884,0
384,-6.0052148253118895,-2.9120007925504106,1.4808107483028037,131886,0
390,-2.9674867714524513,-5.990557472856627,1.4264954109907926,131900,0
397,1.8215480533758424,-5.537621788988037,1.4259443615789336,131944,0
403,6.7034833968467975,-4.9161823457358205,1.2896973595521997,131983,0
409,2.686756171555941,-5.693579567062387,1.464699654765832,132017,0
416,-2.3929061497376343,-5.58491769485865,1.542463850176658,132054,0
422,-6.167265582415575,-3.7644527877623424,1.493541766301366,132076,0
429,-5.876023217427683,1.4885948384341494,1.4482380415580587,132078,0
436,-4.574504376698095,5.502967312881374,1.4722792630060637,132081,0
442,1.2295440171069265,5.462807579966343,1.4444058508247526,132083,0
449,6.112842811871476,5.428496938072765,1.485899383842946,132083,0
455,5.606211949624604,0.7323213950195688,1.548092316854836,132091,1
