# 第一方活跃文档统一注册表 + 逐主张清单(11 字段;真实路径;全 38 覆盖)
# lifecycle: CURRENT=当前事实源 / REFERENCE=参考 / EVIDENCE=冻结证据 / ARCHIVE=历史归档(不入本表,见 docs/archive) / UNVERIFIED=未逐行核对
# generated_for=2026-08-24-current-worktree active_first_party_md=38 note=当前 P0/P1 状态重核;CURRENT 行以 HEAD 动态绑定
path	line_or_section	lifecycle	authority	claim_summary	evidence_source	evidence_commit	verification_status	disposition	replacement	last_verified_commit
CURRENT_STATUS.md	§一 项目章程与固定顺序	CURRENT	当前状态唯一权威	固定路线 P0→P1→P2→P3→P4;GBPlanner 与 frontier_lite 并列;多层楼梯仅架构研究	代码、提交、运行证据与用户章程逐项重核	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
CURRENT_STATUS.md	§二 当前三仓基线	CURRENT	当前状态唯一权威	main 治理仓、gbp-feat@f7a9410、world-model@8649ae5 的角色与授权远端边界	三仓 git HEAD/remote 实测	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
CURRENT_STATUS.md	§三 NVIDIA 与容器环境	CURRENT	当前状态唯一权威	驱动595.84/CUDA13.2/RTX5060及宿主和容器 GPU 链通过;本轮无需重启	宿主 nvidia-smi、nvidia-container-cli、Docker GPU 冒烟	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
CURRENT_STATUS.md	§四 ROS 2 构建与测试事实	CURRENT	当前状态唯一权威	Jazzy 11包构建、gtest 4/4、Python 17/17、Go全模块、M4 13航点均通过	/home/ai4s/aa_runs/gbplanner_verify/20260824T031820Z + 三仓测试	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
CURRENT_STATUS.md	§五 真实运行证据与边界	CURRENT	当前状态唯一权威	P1-2首次run诚实FAIL并定位旧2D点云映射;f7a9410已通过镜像内启动复验;2D代理不得冒充真GBPlanner	本次与历史 run 目录、summary、probe、ROS日志实测	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
CURRENT_STATUS.md	§六 阶段门状态	CURRENT	当前状态唯一权威	P0本轮闭包;P1进行中且P1-1完成;P2/P3/P4阻塞	代码提交、测试与阶段依赖重核	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
CURRENT_STATUS.md	§七 当前唯一推进顺序	CURRENT	当前状态唯一权威	下一步=P1-2固定SHA真GBPlanner短闭环;通过后才10/10与长稳	项目章程与可证伪验收条件	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
HANDOVER_LINUX.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	参考资料,不承载当前状态	机器分类+人工规则	19b75b7	REFERENCE_MARKED	KEEP_MARKED	-	19b75b7
README.md	整档	CURRENT	项目入口(不承载状态)	入口/导航/协议,指向 CURRENT_STATUS	E0-CORRECT 逐章节核对	33449ff	CURRENT_ENTRY	KEEP	-	33449ff
TASKS.md	当前队列	CURRENT	工作包队列权威	P1-2为唯一当前施工项;P1-3/P1-4及P2/P3/P4按依赖阻塞	当前代码与阶段门重核	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
TASKS.md	当前禁止项	CURRENT	工作包队列权威	禁止2D代理冒名、错用运行镜像编译、无summary判PASS及跨阶段施工	项目章程与运行证据边界重核	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
docs/GBPlanner原始论文与代码对应关系.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	论文↔代码对应;桥接=正解结论SUPERSEDED,integration路径改归档位;论文摘录未逐页复核	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_VERIFIED	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
docs/ros2迁移_包清单与体量_2026-07-07.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结镜像实测盘点;CURRENT降级+scratchpad脚本留存标注;未重跑镜像复核	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_PARTIAL	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
docs/ros2迁移_直连架构契约_2026-07-07.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	直连契约(M4/M5设计输入);ACTIVE降级+2路径改归档位+TF假设按理解(二)校正	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_VERIFIED	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
docs/world-model端到端Bug台账_给作者PR.md	B17-B23 历史修复链	CURRENT	问题事实唯一权威	编号不携带状态,四维为准	E0-CORRECT 逐章节核对	3ee8806	CURRENT_CONSISTENT	KEEP	-	0e04ebf
docs/world-model端到端Bug台账_给作者PR.md	OPEN 节	CURRENT	问题事实唯一权威	OPEN-1 间歇 bring-up / OPEN-2 环境债已消除(行为验收归 WP307)	E0-CORRECT 逐章节核对	3ee8806	CURRENT_CONSISTENT	KEEP	-	0e04ebf
docs/world-model端到端Bug台账_给作者PR.md	四维状态表(B21/B22)	CURRENT	问题事实唯一权威	defect/root_cause/impl/acceptance	E0-CORRECT 逐章节核对	3ee8806	CURRENT_CONSISTENT	KEEP	-	0e04ebf
docs/worldmodel理解_0_总览_给ROS2迁移.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	迁移技术索引;主线任务书降历史+替换澄清为按run接管并列+行号基准标历史环境	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_VERIFIED	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
docs/worldmodel理解_1_编排与任务生命周期.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	Go编排精读(e7ca9fc时点);行号基准补现环境+external_nav行降时点;行号级主张未重放验证	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_PARTIAL	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
docs/worldmodel理解_2_ROS图与数据流.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	ROS图/数据流精读(上游快照时点);替换措辞统一改接管并列;行号级主张未重放验证	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_PARTIAL	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
docs/worldmodel理解_3_探索策略接口_GBPlanner接入点.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	策略插拔契约(P4设计输入);4路径改归档位+基准补现环境;行号级主张未重放验证	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_PARTIAL	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
